young, myope, no, reduced, no
young, myope, no, normal, soft
young, myope, yes, reduced, no
young, myope, yes, normal, hard
young, hypermetrope, no, reduced, no
young, hypermetrope, no, normal, soft
young, hypermetrope, yes, reduced, no
young, hypermetrope, yes, normal, hard
pre-presbyopic, myope, no, reduced, no
pre-presbyopic, myope, no, normal, soft
pre-presbyopic, myope, yes, reduced, no
pre-presbyopic, myope, yes, normal, hard
pre-presbyopic, hypermetrope, no, reduced, no
pre-presbyopic, hypermetrope, no, normal, soft
pre-presbyopic, hypermetrope, yes, reduced, no
pre-presbyopic, hypermetrope, yes, normal, no
presbyopic, myope, no, reduced, no
presbyopic, myope, no, normal, no
presbyopic, myope, yes, reduced, no
presbyopic, myope, yes, normal, hard
presbyopic, hypermetrope, no, reduced, no
presbyopic, hypermetrope, no, normal, soft
presbyopic, hypermetrope, yes, reduced, no
presbyopic, hypermetrope, yes, normal, no